neuron_id,experiment_id,actuator,condition_vehicle_vs_stim,ligand,condition,source_condition,replicate,sample_id
CONTROL/MEDIA__r4__sNA,EYFP_rep4,EYFP,Stimulated,none,EYFP_Control_Media,CONTROL/MEDIA,4,
CONTROL/MEDIA__r5__sNA,EYFP_rep5,EYFP,Stimulated,none,EYFP_Control_Media,CONTROL/MEDIA,5,
CONTROL/MEDIA__r6__sNA,EYFP_rep6,EYFP,Stimulated,none,EYFP_Control_Media,CONTROL/MEDIA,6,
CONTROL/MEDIA__r7__sNA,EYFP_rep7,EYFP,Stimulated,none,EYFP_Control_Media,CONTROL/MEDIA,7,
CONTROL/MEDIA__r8__sNA,EYFP_rep8,EYFP,Stimulated,none,EYFP_Control_Media,CONTROL/MEDIA,8,
CONTROL/MEDIA__r9__sNA,EYFP_rep9,EYFP,Stimulated,none,EYFP_Control_Media,CONTROL/MEDIA,9,
CONTROL/MEDIA__r10__sNA,EYFP_rep10,EYFP,Stimulated,none,EYFP_Control_Media,CONTROL/MEDIA,10,
CONTROL/MEDIA__r11__sNA,EYFP_rep11,EYFP,Stimulated,none,EYFP_Control_Media,CONTROL/MEDIA,11,
LMO7__r1__s353.1,LMO7_rep1,LMO7,Vehicle,none,LMO7_Vehicle,LMO7,1,353.1
LMO7__r2__s353.4,LMO7_rep2,LMO7,Vehicle,none,LMO7_Vehicle,LMO7,2,353.4
LMO7__r3__s353.5,LMO7_rep3,LMO7,Vehicle,none,LMO7_Vehicle,LMO7,3,353.5
LMO7__r4__s353.6,LMO7_rep4,LMO7,Vehicle,none,LMO7_Vehicle,LMO7,4,353.6
LMO7__r5__s353.7,LMO7_rep5,LMO7,Vehicle,none,LMO7_Vehicle,LMO7,5,353.7
LMO7__r6__s353.8,LMO7_rep6,LMO7,Vehicle,none,LMO7_Vehicle,LMO7,6,353.8
LMO7__r7__s353.1,LMO7_rep7,LMO7,Vehicle,none,LMO7_Vehicle,LMO7,7,353.1
LMO7__r8__s353.11,LMO7_rep8,LMO7,Vehicle,none,LMO7_Vehicle,LMO7,8,353.11
LMO7__r9__s353.12,LMO7_rep9,LMO7,Vehicle,none,LMO7_Vehicle,LMO7,9,353.12
LMO7__r10__s353.14,LMO7_rep10,LMO7,Vehicle,none,LMO7_Vehicle,LMO7,10,353.14
LMO7__r11__s353.15,LMO7_rep11,LMO7,Vehicle,none,LMO7_Vehicle,LMO7,11,353.15
LMO7/hCTZ__r1__sNA,LMO7_rep1,LMO7,Stimulated,hCTZ,LMO7_hCTZ,LMO7/hCTZ,1,
LMO7/hCTZ__r2__sNA,LMO7_rep2,LMO7,Stimulated,hCTZ,LMO7_hCTZ,LMO7/hCTZ,2,
LMO7/hCTZ__r3__sNA,LMO7_rep3,LMO7,Stimulated,hCTZ,LMO7_hCTZ,LMO7/hCTZ,3,
LMO7/hCTZ__r4__sNA,LMO7_rep4,LMO7,Stimulated,hCTZ,LMO7_hCTZ,LMO7/hCTZ,4,
LMO7/hCTZ__r5__sNA,LMO7_rep5,LMO7,Stimulated,hCTZ,LMO7_hCTZ,LMO7/hCTZ,5,
