major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),DREADD_Vehicle,DREADD,7,,DREADD__r7__sNA,DREADD_rep7,57,15.0,295.0,1155.0,DREADD,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),DREADD_Vehicle,DREADD,8,,DREADD__r8__sNA,DREADD_rep8,50,10.0,255.0,1420.0,DREADD,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),DREADD_Vehicle,DREADD,9,,DREADD__r9__sNA,DREADD_rep9,59,10.0,300.0,1845.0,DREADD,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),LMO7_Vehicle,LMO7,1,353.1,LMO7__r1__s353.1,LMO7_rep1,27,10.0,140.0,1527.5,LMO7,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),LMO7_Vehicle,LMO7,2,353.4,LMO7__r2__s353.4,LMO7_rep2,49,15.0,255.0,2160.0,LMO7,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),LMO7_Vehicle,LMO7,3,353.5,LMO7__r3__s353.5,LMO7_rep3,35,10.0,180.0,2045.0,LMO7,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),LMO7_Vehicle,LMO7,4,353.6,LMO7__r4__s353.6,LMO7_rep4,41,10.0,210.0,1655.0,LMO7,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),LMO7_Vehicle,LMO7,5,353.7,LMO7__r5__s353.7,LMO7_rep5,49,10.0,250.0,2987.5,LMO7,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),LMO7_Vehicle,LMO7,6,353.8,LMO7__r6__s353.8,LMO7_rep6,52,15.0,270.0,1315.0,LMO7,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),LMO7_Vehicle,LMO7,7,353.1,LMO7__r7__s353.1,LMO7_rep7,48,10.0,245.0,1610.0,LMO7,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),LMO7_Vehicle,LMO7,8,353.11,LMO7__r8__s353.11,LMO7_rep8,34,5.0,170.0,1695.0,LMO7,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),LMO7_Vehicle,LMO7,9,353.12,LMO7__r9__s353.12,LMO7_rep9,22,10.0,115.0,617.5,LMO7,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),LMO7_Vehicle,LMO7,10,353.14,LMO7__r10__s353.14,LMO7_rep10,38,10.0,195.0,2190.0,LMO7,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),LMO7_Vehicle,LMO7,11,353.15,LMO7__r11__s353.15,LMO7_rep11,25,10.0,130.0,1592.5,LMO7,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),PSAM_Vehicle,PSAM,1,,PSAM__r1__sNA,PSAM_rep1,57,20.0,300.0,1432.5,PSAM,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),PSAM_Vehicle,PSAM,2,,PSAM__r2__sNA,PSAM_rep2,77,15.0,395.0,2065.0,PSAM,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),PSAM_Vehicle,PSAM,3,,PSAM__r3__sNA,PSAM_rep3,69,20.0,360.0,1367.5,PSAM,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),PSAM_Vehicle,PSAM,4,,PSAM__r4__sNA,PSAM_rep4,73,15.0,375.0,1407.5,PSAM,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),PSAM_Vehicle,PSAM,5,,PSAM__r5__sNA,PSAM_rep5,58,15.0,300.0,1382.5,PSAM,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),PSAM_Vehicle,PSAM,6,,PSAM__r6__sNA,PSAM_rep6,51,20.0,270.0,730.0,PSAM,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),PSAM_Vehicle,PSAM,7,,PSAM__r7__sNA,PSAM_rep7,31,10.0,160.0,692.5,PSAM,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),PSAM_Vehicle,PSAM,8,,PSAM__r8__sNA,PSAM_rep8,46,10.0,235.0,1520.0,PSAM,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),PSAM_Vehicle,PSAM,9,,PSAM__r9__sNA,PSAM_rep9,56,10.0,285.0,1112.5,PSAM,Vehicle,none,True
Group II: vehicle condition vs pooled EYFP,Group II (Vehicle condition),PSAM_Vehicle,PSAM,10,,PSAM__r10__sNA,PSAM_rep10,73,15.0,375.0,1375.0,PSAM,Vehicle,none,True
