major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition,normalization_reference,matched_control_reference_raw_auc
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,4,,PSAM/uPSEM__r4__sNA,PSAM_rep4,47,10.0,240.0,0.7409523809523809,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,5,,PSAM/uPSEM__r5__sNA,PSAM_rep5,35,15.0,185.0,0.7371428571428571,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,6,,PSAM/uPSEM__r6__sNA,PSAM_rep6,42,10.0,215.0,0.6895238095238095,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,7,,PSAM/uPSEM__r7__sNA,PSAM_rep7,48,10.0,245.0,0.6419047619047619,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,8,,PSAM/uPSEM__r8__sNA,PSAM_rep8,48,20.0,255.0,0.7676190476190476,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,9,,PSAM/uPSEM__r9__sNA,PSAM_rep9,54,10.0,275.0,1.5504761904761906,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,10,,PSAM/uPSEM__r10__sNA,PSAM_rep10,57,10.0,290.0,0.7771428571428571,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,11,,PSAM/uPSEM__r11__sNA,PSAM_rep11,53,10.0,270.0,0.6819047619047619,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
Group I: treatment condition,Group I (Treatment condition),PSAM_uPSEM,PSAM/uPSEM,12,,PSAM/uPSEM__r12__sNA,PSAM_rep12,74,15.0,380.0,1.1466666666666667,PSAM,Stimulated,uPSEM,True,matched_control_median,1312.5
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,1,,DREADD__r1__sNA,DREADD_rep1,41,15.0,215.0,0.8445706174591909,DREADD,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,2,,DREADD__r2__sNA,DREADD_rep2,59,10.0,300.0,1.3910574875798438,DREADD,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,3,,DREADD__r3__sNA,DREADD_rep3,58,15.0,300.0,0.9538679914833215,DREADD,Vehicle,none,True,matched_control_median,1761.25
Group II: vehicle condition,Group II (Vehicle condition),DREADD_Vehicle,DREADD,4,,DREADD__r4__sNA,DREADD_rep4,57,15.0,295.0,1.0816181689141235,DREADD,Vehicle,none,True,matched_control_median,1761.25
