major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition,normalization_reference,matched_control_reference_raw_auc
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,2,371.2,CONTROL__r2__s371.2,371.2,55,10.0,280.0,0.6902336728579987,EYFP,Vehicle,none,False,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,3,371.3,CONTROL__r3__s371.3,371.3,62,15.0,320.0,1.5961653684841222,EYFP,Vehicle,none,False,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,4,371.4,CONTROL__r4__s371.4,371.4,70,10.0,355.0,1.267825044937088,EYFP,Vehicle,none,False,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,5,371.5,CONTROL__r5__s371.5,371.5,85,10.0,430.0,0.8196524865188736,EYFP,Vehicle,none,False,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,6,371.6,CONTROL__r6__s371.6,371.6,107,10.0,540.0,1.409227082085081,EYFP,Vehicle,none,False,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,7,371.7,CONTROL__r7__s371.7,371.7,81,10.0,410.0,1.3517076093469143,EYFP,Vehicle,none,False,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,8,371.8,CONTROL__r8__s371.8,371.8,39,10.0,200.0,0.6698621929298981,EYFP,Vehicle,none,False,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,9,371.9,CONTROL__r9__s371.9,371.9,61,10.0,310.0,1.2115038945476333,EYFP,Vehicle,none,False,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,10,371.1,CONTROL__r10__s371.1,371.1,46,10.0,235.0,0.7980826842420611,EYFP,Vehicle,none,False,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,11,371.11,CONTROL__r11__s371.11,371.11,58,10.0,295.0,0.5200718993409227,EYFP,Vehicle,none,False,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),EYFP_Control,CONTROL,12,371.12,CONTROL__r12__s371.12,371.12,47,15.0,245.0,0.8687837028160575,EYFP,Vehicle,none,False,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,1,353.1,LMO7__r1__s353.1,LMO7_rep1,27,10.0,140.0,0.732174955062912,LMO7,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,2,353.4,LMO7__r2__s353.4,LMO7_rep2,49,15.0,255.0,1.0353505092869981,LMO7,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,3,353.5,LMO7__r3__s353.5,LMO7_rep3,35,10.0,180.0,0.9802276812462553,LMO7,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,4,353.6,LMO7__r4__s353.6,LMO7_rep4,41,10.0,210.0,0.793289394847214,LMO7,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,5,353.7,LMO7__r5__s353.7,LMO7_rep5,49,10.0,250.0,1.4319952067106052,LMO7,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,6,353.8,LMO7__r6__s353.8,LMO7_rep6,52,15.0,270.0,0.6303175554224086,LMO7,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,7,353.1,LMO7__r7__s353.1,LMO7_rep7,48,10.0,245.0,0.7717195925704015,LMO7,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,8,353.11,LMO7__r8__s353.11,LMO7_rep8,34,5.0,170.0,0.8124625524266027,LMO7,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,9,353.12,LMO7__r9__s353.12,LMO7_rep9,22,10.0,115.0,0.29598562013181545,LMO7,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,10,353.14,LMO7__r10__s353.14,LMO7_rep10,38,10.0,195.0,1.0497303774715399,LMO7,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,11,353.15,LMO7__r11__s353.15,LMO7_rep11,25,10.0,130.0,0.7633313361294188,LMO7,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,1,,PSAM__r1__sNA,PSAM_rep1,57,20.0,300.0,0.6866387058118634,PSAM,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,2,,PSAM__r2__sNA,PSAM_rep2,77,15.0,395.0,0.9898142600359496,PSAM,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,3,,PSAM__r3__sNA,PSAM_rep3,69,20.0,360.0,0.6554823247453565,PSAM,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,4,,PSAM__r4__sNA,PSAM_rep4,73,15.0,375.0,0.6746554823247454,PSAM,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,5,,PSAM__r5__sNA,PSAM_rep5,58,15.0,300.0,0.6626722588376274,PSAM,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,6,,PSAM__r6__sNA,PSAM_rep6,51,20.0,270.0,0.3499101258238466,PSAM,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,7,,PSAM__r7__sNA,PSAM_rep7,31,10.0,160.0,0.33193529059316956,PSAM,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,8,,PSAM__r8__sNA,PSAM_rep8,46,10.0,235.0,0.7285799880167765,PSAM,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,9,,PSAM__r9__sNA,PSAM_rep9,56,10.0,285.0,0.5332534451767525,PSAM,Vehicle,none,True,matched_control_mean,2086.25
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,10,,PSAM__r10__sNA,PSAM_rep10,73,15.0,375.0,0.6590772917914919,PSAM,Vehicle,none,True,matched_control_mean,2086.25
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,1,,CNO__r1__sNA,NoActuator_rep1,61,5.0,305.0,0.5058912960851387,NoActuator,Stimulated,CNO,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,2,,CNO__r2__sNA,NoActuator_rep2,16,5.0,80.0,0.30729760547320406,NoActuator,Stimulated,CNO,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,3,,CNO__r3__sNA,NoActuator_rep3,39,5.0,195.0,1.0839034587609273,NoActuator,Stimulated,CNO,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,4,,CNO__r4__sNA,NoActuator_rep4,30,5.0,150.0,0.5612884834663625,NoActuator,Stimulated,CNO,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,5,,CNO__r5__sNA,NoActuator_rep5,36,5.0,180.0,0.9208475864690231,NoActuator,Stimulated,CNO,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,6,,CNO__r6__sNA,NoActuator_rep6,70,5.0,350.0,0.8978525275560623,NoActuator,Stimulated,CNO,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,7,,CNO__r7__sNA,NoActuator_rep7,30,5.0,150.0,0.3919612314709236,NoActuator,Stimulated,CNO,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,8,,CNO__r8__sNA,NoActuator_rep8,49,5.0,245.0,0.9229380463702014,NoActuator,Stimulated,CNO,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,9,,CNO__r9__sNA,NoActuator_rep9,33,5.0,165.0,0.201729380463702,NoActuator,Stimulated,CNO,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,10,,CNO__r10__sNA,NoActuator_rep10,49,5.0,245.0,0.5424743443557583,NoActuator,Stimulated,CNO,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_CNO,CNO,11,,CNO__r11__sNA,NoActuator_rep11,54,5.0,270.0,0.8131889015583428,NoActuator,Stimulated,CNO,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,1,,MEDIA__r1__sNA,NoActuator_rep1,58,5.0,290.0,1.4873622196883314,NoActuator,Vehicle,none,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,2,,MEDIA__r2__sNA,NoActuator_rep2,43,5.0,215.0,0.7149372862029646,NoActuator,Vehicle,none,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,3,,MEDIA__r3__sNA,NoActuator_rep3,55,5.0,275.0,1.1696123147092359,NoActuator,Vehicle,none,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,4,,MEDIA__r4__sNA,NoActuator_rep4,109,5.0,545.0,1.6086088939566703,NoActuator,Vehicle,none,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,5,,MEDIA__r5__sNA,NoActuator_rep5,52,5.0,260.0,0.49230330672748,NoActuator,Vehicle,none,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,6,,MEDIA__r6__sNA,NoActuator_rep6,53,5.0,265.0,0.3877803116685671,NoActuator,Vehicle,none,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,7,,MEDIA__r7__sNA,NoActuator_rep7,52,5.0,260.0,0.9354808057772709,NoActuator,Vehicle,none,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,8,,MEDIA__r8__sNA,NoActuator_rep8,52,5.0,260.0,0.9312998859749144,NoActuator,Vehicle,none,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,9,,MEDIA__r9__sNA,NoActuator_rep9,107,5.0,535.0,1.3452109464082098,NoActuator,Vehicle,none,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,10,,MEDIA__r10__sNA,NoActuator_rep10,56,5.0,280.0,0.8727670087419231,NoActuator,Vehicle,none,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_Vehicle,MEDIA,11,,MEDIA__r11__sNA,NoActuator_rep11,68,5.0,340.0,1.0546370201444317,NoActuator,Vehicle,none,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,1,,hCTZ__r1__sNA,NoActuator_rep1,63,0.0,310.0,0.904123907259597,NoActuator,Stimulated,hCTZ,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,2,,hCTZ__r2__sNA,NoActuator_rep2,86,0.0,425.0,1.5950209045990116,NoActuator,Stimulated,hCTZ,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,3,,hCTZ__r3__sNA,NoActuator_rep3,50,0.0,245.0,0.8121436716077537,NoActuator,Stimulated,hCTZ,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,4,,hCTZ__r4__sNA,NoActuator_rep4,82,0.0,405.0,0.8330482706195362,NoActuator,Stimulated,hCTZ,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,5,,hCTZ__r5__sNA,NoActuator_rep5,85,0.0,420.0,0.8508171797795514,NoActuator,Stimulated,hCTZ,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,6,,hCTZ__r6__sNA,NoActuator_rep6,56,0.0,275.0,0.9981946028126187,NoActuator,Stimulated,hCTZ,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,7,,hCTZ__r7__sNA,NoActuator_rep7,37,0.0,180.0,0.6114595210946407,NoActuator,Stimulated,hCTZ,False,matched_control_mean,2391.818181818182
Group III: ligand/media-only control,Group III (Ligand/media-only control),None_hCTZ,hCTZ,8,,hCTZ__r8__sNA,NoActuator_rep8,73,0.0,360.0,1.066134549600912,NoActuator,Stimulated,hCTZ,False,matched_control_mean,2391.818181818182
