major_group,analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,ligand,is_primary_condition,normalization_reference,matched_control_reference_raw_auc
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,9,353.12,LMO7__r9__s353.12,LMO7_rep9,22,10.0,115.0,0.36108815864742894,LMO7,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,10,353.14,LMO7__r10__s353.14,LMO7_rep10,38,10.0,195.0,1.2806203521261044,LMO7,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),LMO7_Vehicle,LMO7,11,353.15,LMO7__r11__s353.15,LMO7_rep11,25,10.0,130.0,0.9312273565117904,LMO7,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,1,,PSAM__r1__sNA,PSAM_rep1,57,20.0,300.0,0.8376660522468696,PSAM,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,2,,PSAM__r2__sNA,PSAM_rep2,77,15.0,395.0,1.207525583169135,PSAM,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,3,,PSAM__r3__sNA,PSAM_rep3,69,20.0,360.0,0.7996567723892455,PSAM,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,4,,PSAM__r4__sNA,PSAM_rep4,73,15.0,375.0,0.8230470984554757,PSAM,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,5,,PSAM__r5__sNA,PSAM_rep5,58,15.0,300.0,0.8084281446640819,PSAM,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,6,,PSAM__r6__sNA,PSAM_rep6,51,20.0,270.0,0.4268734507087014,PSAM,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,7,,PSAM__r7__sNA,PSAM_rep7,31,10.0,160.0,0.4049450200216106,PSAM,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,8,,PSAM__r8__sNA,PSAM_rep8,46,10.0,235.0,0.8888323905167482,PSAM,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,9,,PSAM__r9__sNA,PSAM_rep9,56,10.0,285.0,0.6505434437170279,PSAM,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
Group II: vehicle condition,Group II (Vehicle condition),PSAM_Vehicle,PSAM,10,,PSAM__r10__sNA,PSAM_rep10,73,15.0,375.0,0.8040424585266637,PSAM,Vehicle,none,True,pooled_EYFP_control_and_EYFP_media_mean,1710.108695652174
