sensitivity_rank,n_removed,removed_cell_ids,removed_conditions,control_condition,treatment_condition,n_control,n_treatment,mean_auc_control,mean_auc_treatment,mean_difference_treatment_minus_control,dunnett_statistic,dunnett_pvalue_adjusted,ci_low_difference,ci_high_difference,significant_dunnett_adjusted_alpha
167,8,DREADD/CNO__r5__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r5__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,8,9,1195.625,1074.4444444444443,-121.18055555555566,-0.7051527707696669,0.8151363028746862,-543.2981202134227,300.93700910231144,False
168,4,DREADD/CNO__r9__sNA | CONTROL/MEDIA__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,10,11,1338.0,1509.7727272727273,171.77272727272725,1.1148849381950003,0.55100775087003,-206.23042262552843,549.775877170983,False
168,4,DREADD/CNO__r9__sNA | CONTROL/MEDIA__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,10,9,1338.0,1357.2222222222222,19.22222222222217,0.11864165326151875,0.9987911103926076,-378.27825994844585,416.7227043928902,False
168,4,DREADD/CNO__r9__sNA | CONTROL/MEDIA__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,10,10,1338.0,1022.75,-315.25,-1.9990756968892636,0.1309998208944062,-702.1485587073346,71.64855870733459,False
169,4,DREADD/CNO__r10__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,11,11,1299.7727272727273,1518.409090909091,218.63636363636374,1.4349281932442846,0.35992345823752503,-156.26673576386435,593.5394630365918,False
169,4,DREADD/CNO__r10__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,11,9,1299.7727272727273,1357.2222222222222,57.44949494949492,0.35769695479836944,0.9709483378587407,-337.7330703709139,452.6320602699037,False
169,4,DREADD/CNO__r10__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,11,9,1299.7727272727273,1006.9444444444445,-292.8282828282828,-1.823232478172261,0.1865164504573339,-688.0108481486916,102.354282492126,False
170,7,CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,DREADD_CNO,8,12,1330.0,1506.25,176.25,1.1869381988230827,0.49352909243756715,-187.99262462922007,540.49262462922,False
170,7,CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,LMO7_hCTZ,8,8,1330.0,1330.3125,0.3125,0.0019211371922575478,0.9999999944188684,-398.69530382862126,399.32030382862126,False
170,7,CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r7__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,EYFP_Control_Media,PSAM_uPSEM,8,9,1330.0,1042.7777777777778,-287.2222222222222,-1.8169299674041246,0.18237396531803562,-674.988107187649,100.54366274320466,False
