posthoc_rank,sensitivity_rank,n_removed,removed_cell_ids,removed_conditions,anova_pvalue,minimum_dunnett_adjusted_pvalue,significant_dunnett_conditions,has_significant_dunnett_contrast
75,262,8,CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r1__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r6__sNA | PSAM/uPSEM__r8__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.036592286811538574,0.0725940064514542,,False
76,205,5,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r8__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.029811630839238802,0.07263602308342287,,False
77,256,6,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r6__sNA | CONTROL/MEDIA__r9__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM,0.036306799879421196,0.07304230257756905,,False
78,135,4,DREADD/CNO__r2__sNA | CONTROL/MEDIA__r2__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.024195050805470165,0.07373696316127043,,False
79,321,5,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r8__sNA | PSAM/uPSEM__r8__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.04285884051966732,0.07465610741529172,,False
80,20,8,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r2__sNA | LMO7/hCTZ__r4__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.00997184340658319,0.0753681336573031,,False
81,195,5,DREADD/CNO__r7__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.02905091028114636,0.07550571738498035,,False
82,54,7,CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r3__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA,EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.014443262685153066,0.07570699101558642,,False
83,137,5,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r10__sNA,DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.02421656875861644,0.07712833224284876,,False
84,167,8,DREADD/CNO__r5__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r5__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.02606997445803141,0.07750723126062953,,False
85,57,7,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r11__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r10__sNA | PSAM/uPSEM__r11__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.014896792844301747,0.07767070488579353,,False
86,242,7,DREADD/CNO__r5__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r2__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.034709893169106616,0.0779110385960824,,False
87,112,6,DREADD/CNO__r10__sNA | CONTROL/MEDIA__r2__sNA | LMO7/hCTZ__r5__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.020893008046080255,0.08054372718402147,,False
88,190,8,DREADD/CNO__r1__sNA | DREADD/CNO__r5__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r6__sNA | LMO7/hCTZ__r1__sNA | LMO7/hCTZ__r7__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.02857715547692647,0.08089757348810112,,False
89,203,6,DREADD/CNO__r3__sNA | DREADD/CNO__r7__sNA | DREADD/CNO__r12__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM,0.02962016264510964,0.0811825573649042,,False
90,59,7,DREADD/CNO__r9__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r1__sNA | LMO7/hCTZ__r2__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.014941403288798437,0.08242777321571437,,False
91,297,4,CONTROL/MEDIA__r6__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r2__sNA,EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM,0.04024104959728656,0.08271045509045927,,False
92,155,3,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | PSAM_uPSEM,0.025503887851067924,0.08295951453217387,,False
93,108,4,CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r4__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.02029992457987302,0.08300294652439644,,False
94,263,8,DREADD/CNO__r12__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r6__sNA | LMO7/hCTZ__r2__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.03666611490487518,0.08414777524698736,,False
95,185,7,DREADD/CNO__r7__sNA | DREADD/CNO__r8__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r4__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.028222124924827806,0.08429111927707988,,False
96,208,8,DREADD/CNO__r5__sNA | DREADD/CNO__r10__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r8__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM,0.030297765552311985,0.08460009171579164,,False
97,278,5,DREADD/CNO__r3__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r10__sNA | PSAM/uPSEM__r4__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.038675994728511326,0.08472304528529684,,False
98,271,8,DREADD/CNO__r3__sNA | DREADD/CNO__r5__sNA | DREADD/CNO__r9__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r3__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ,0.03785378843142371,0.08518580233242345,,False
99,124,7,DREADD/CNO__r6__sNA | CONTROL/MEDIA__r7__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r6__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.02234708453742269,0.08626886291475877,,False
100,404,7,DREADD/CNO__r3__sNA | DREADD/CNO__r12__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r8__sNA | CONTROL/MEDIA__r9__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r3__sNA,DREADD_CNO | DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ,0.049908609474421294,0.08645656279614,,False
101,386,7,DREADD/CNO__r7__sNA | CONTROL/MEDIA__r2__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r6__sNA | CONTROL/MEDIA__r7__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | PSAM_uPSEM | PSAM_uPSEM,0.048305933702936996,0.08734119841556176,,False
102,136,8,DREADD/CNO__r9__sNA | CONTROL/MEDIA__r5__sNA | CONTROL/MEDIA__r10__sNA | LMO7/hCTZ__r4__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r11__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.02420022706117287,0.08771685811637897,,False
103,90,8,DREADD/CNO__r8__sNA | CONTROL/MEDIA__r1__sNA | CONTROL/MEDIA__r3__sNA | CONTROL/MEDIA__r4__sNA | CONTROL/MEDIA__r11__sNA | LMO7/hCTZ__r3__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.018296312712866317,0.0880405218381396,,False
104,200,8,DREADD/CNO__r11__sNA | CONTROL/MEDIA__r6__sNA | CONTROL/MEDIA__r9__sNA | LMO7/hCTZ__r1__sNA | LMO7/hCTZ__r9__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | EYFP_Control_Media | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.02929676309019765,0.08960781073362434,,False
105,123,6,DREADD/CNO__r1__sNA | LMO7/hCTZ__r4__sNA | PSAM/uPSEM__r1__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA | PSAM/uPSEM__r12__sNA,DREADD_CNO | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM | PSAM_uPSEM,0.022228771397640228,0.09029967981856124,,False
106,8,8,DREADD/CNO__r3__sNA | DREADD/CNO__r5__sNA | DREADD/CNO__r7__sNA | CONTROL/MEDIA__r1__sNA | LMO7/hCTZ__r4__sNA | LMO7/hCTZ__r5__sNA | PSAM/uPSEM__r2__sNA | PSAM/uPSEM__r9__sNA,DREADD_CNO | DREADD_CNO | DREADD_CNO | EYFP_Control_Media | LMO7_hCTZ | LMO7_hCTZ | PSAM_uPSEM | PSAM_uPSEM,0.005529942375435408,0.09032207687023897,,False
